human.External.Gene.Name	human.Ensembl.Gene.ID	danos_gene	LA_E14.5.norm.	LV_E14.5.norm.	RA_E14.5.norm.	RV_E14.5.norm.	LA_E14.5.reads.	LV_E14.5.reads.	RA_E14.5.reads.	RV_E14.5.reads.	e14.5_mean	e14.5_rank	Brain_E9.5.norm.	Brain_E9.5.reads.	brain_fpkm	brain_rank
PEX19	ENSG00000162735	Pex19	132.384418957417	119.925690096527	138.200764771215	125.158334727476	1689	1471	1833	1592	128.917302138159	93.6449341208542	150.641225424041	2598	48.1128155298758	93.3496138119037
TSNAXIP1	ENSG00000102904	Tsnaxip1	0.156760709245018	0.489159850835595	0.226187831049452	0.393085222134031	2	6	3	5	0.316298403316024	22.626079054975	0.811769498051028	14	0.367316514955216	26.2551113130395
BCL7A	ENSG00000110987	Bcl7a	43.892998588605	49.3236182925892	42.523312237297	47.4060777893642	560	605	564	603	45.7865017269638	78.6233530213539	111.676289517591	1926	13.8762785185874	72.2626079054975
DIO1	ENSG00000211452	Dio1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MLLT10	ENSG00000078403	Mllt10	59.3339284492392	67.0964262062825	61.3722981580846	67.8465093403338	757	823	814	863	63.912290538485	85.0238527941845	141.131925589729	2434	21.9319231685671	81.5935938209905
BNIP3L	ENSG00000104765	Bnip3l	79.1641581687339	83.401754567469	95.3004728155024	71.8559786061009	1010	1023	1264	914	82.4305910394516	88.8402998636983	85.1778137597829	1469	25.9767654040204	85.222626079055
CAPZB	ENSG00000077549	Capzb	223.619151738018	260.722200495372	230.259212008342	261.873374985692	2853	3198	3054	3331	244.118484806856	97.3761926397092	161.542130112155	2786	70.1746872772176	96.1381190368015
DNAJC21	ENSG00000168724	Dnajc21	23.5924867413752	24.131885974556	20.6584885691833	22.9561769726274	301	296	274	292	22.8347595644355	62.8691503861881	28.7598336452364	496	6.81835790546145	57.0536119945479
CACHD1	ENSG00000158966	Cachd1	8.46507829923095	26.9037917959577	6.2578633257015	34.905967725502	108	330	83	444	19.133175286598	58.8539300318037	184.735544342184	3186	32.6907705436532	88.8005452067242
RITA1	ENSG00000139405	1110008J03Rik	7.75965510762838	7.25587112072799	9.49988890407698	9.82713055335078	99	89	126	125	8.58563642144603	45.2464788732394	7.47987608918448	129	4.48972154212754	49.767151294866
SNIP1	ENSG00000163877	Snip1	12.8543781580915	12.4735761963077	14.023645525066	16.1164941074953	164	153	186	205	13.8670234967401	52.3796001817356	26.0925910087831	450	10.8357936082986	66.821899136756
PTGR1	ENSG00000106853	Ptgr1	24.0627688691102	12.7181561217255	23.5989303728262	15.7234088853613	307	156	313	200	19.0258160622558	58.7346660608814	6.37818891325808	110	3.03145860896297	44.3321217628351
B9D2	ENSG00000123810	B9d2	15.9112119883693	17.2836480628577	12.7419144824525	15.3303236632272	203	212	169	195	15.3167745492267	54.2196728759655	8.2916455872355	143	6.79643080920943	56.9911403907315
NPY	ENSG00000122585	Npy	0.235141063867527	0.0815266418059325	0.226187831049452	0.314468177707225	3	1	3	4	0.214330928607534	20.6156292594275	0	0	0	0
PHAX	ENSG00000164902	Phax	31.1953811397585	34.8118760511332	29.1782302053793	33.0191586592586	398	427	387	420	32.0511615138824	70.7405724670604	40.7044419737016	702	19.8752158074715	79.8727850976829
PPIA	ENSG00000196262	Ppia	330.765096506987	404.127563432007	326.766019922775	390.41224262352	4220	4957	4334	4966	363.017730621322	98.6085870059064	472.507831401274	8149	634.238699867482	99.8523398455248
LNX2	ENSG00000139517	Lnx2	23.4357260321301	28.7789045574942	19.9799250760349	30.5034132376008	299	353	265	388	25.674492225815	65.6122217174012	33.0506152777919	570	7.27506389561785	58.4620626987733
SYT2	ENSG00000143858	Syt2	0.0783803546225088	0	0.301583774732603	0	1	0	4	0	0.094991032338778	16.6344843253067	3.59497920565455	62	1.0239188851195	33.8709677419355
SYCE3	ENSG00000217442	1700007E06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGB7	ENSG00000139626	Itgb7	0.783803546225089	0.896793059865258	0.452375662098904	0.314468177707225	10	11	6	4	0.611860111474119	26.0676965015902	0.985720104776249	17	0.368631303207273	26.2778282598819
TENM3	ENSG00000218336	ten-m3	15.8328316337468	19.5663940334238	16.3609197792437	15.1730895743736	202	240	217	193	16.733308755197	55.9575193094048	447.690878175142	7721	177.233126751838	99.011812812358
STRBP	ENSG00000165209	Strbp	44.9903235533201	43.6982800079798	43.3526676178116	39.8588415243908	574	536	575	507	42.9750281758756	77.1013175829168	187.518754049788	3234	10.5578939276948	66.1347114947751
DHRS2	ENSG00000100867	Dhrs2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKK1	ENSG00000170209	Ankk1	0	0	0	0	0	0	0	0	0	0	0.115967071150147	2	0.0422620521684209	14.9307133121308
B3GNT3	ENSG00000179913	B3gnt3	0.313521418490035	0.407633209029663	0	0.471702266560838	4	5	0	6	0.298214223520134	22.3194002726034	0.17395060672522	3	0.0782152008656565	17.7476147205816
FAM187B	ENSG00000177558	Tmem162	0.235141063867527	0.896793059865258	0.452375662098904	0.393085222134031	3	11	6	5	0.49434875199143	24.7898682417083	0.869753033626102	15	0.714082950431939	31.1790095411177
TTLL11	ENSG00000175764	Ttll11	0.862183900847597	1.38595291070085	1.88489859207877	1.80819202181654	11	17	25	23	1.48530685636094	31.3493866424353	3.24707799220411	56	1.02205791381936	33.8482507950931
C1orf173	ENSG00000178965	4922501L14Rik	0.0783803546225088	0.32610656722373	0.226187831049452	0.393085222134031	1	4	3	5	0.25593999375743	21.6549295774648	0.115967071150147	2	0.0577237785715017	16.163107678328
SYNE4	ENSG00000181392	AI428936	6.34880872442322	3.91327880668476	6.03167549465205	3.22329882149906	81	48	80	41	4.87926546181477	39.3855065879146	8.63954680068595	149	6.38075834614915	55.8552930486143
OR4C15	ENSG00000181939	Olfr1232	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMG2	ENSG00000128789	Psmg2	29.3142526288183	36.6869888126696	29.2536261490625	32.861924570405	374	450	388	418	32.0291980402389	70.7292139936392	23.1934142300294	400	13.3448873590503	71.3028169014084
ZDHHC23	ENSG00000184307	Zdhhc23	1.01894461009261	0.97831970167119	0.301583774732603	0.550319310987644	13	12	4	7	0.712291849371012	27.0047705588369	0.695802426900881	12	0.409054924691876	26.9990913221263
ADRB1	ENSG00000043591	Adrb1	9.79754432781361	5.62533828460934	7.01182276253301	8.88372602022911	125	69	93	113	7.82960784879627	44.099273057701	0.927736569201175	16	0.37243539510284	26.3573375738301
IFI30	ENSG00000216490	Ifi30	15.3625495060117	13.7780024652026	15.1545846803133	20.6762826842501	196	169	201	263	16.2428548339444	55.3441617446615	4.98658405945632	86	5.07798784058688	51.9139027714675
LRRN4CL	ENSG00000177363	Lrrn4cl	1.48922673782767	1.95663940334238	2.03569047944507	1.02202157754848	19	24	27	13	1.6258945495409	31.8945933666515	1.21765424707654	21	0.4683285565679	27.9248069059518
HPRT1	ENSG00000165704	Hprt	78.6938760409989	117.805997409572	75.3959436831507	106.447478153896	1004	1445	1000	1354	94.5858238219044	90.5554293502953	26.2085580799332	452	19.4281379391647	79.3389368468878
GKN1	ENSG00000169605	Gkn1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FABP9	ENSG00000205186	Fabp9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PMP2	ENSG00000147588	Pmp2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SFI1	ENSG00000198089	Sfi1	50.5553287315182	39.7850012012951	44.03123111096	39.9374585688176	645	488	584	508	43.5772549031477	77.3966378918673	58.447403859674	1008	10.4314481277305	65.8564288959564
CEP128	ENSG00000100629	4930534B04Rik	9.79754432781361	11.0060966438009	9.95226456617589	10.6919180420457	125	135	132	136	10.361955894959	47.5465697410268	34.5581872027438	596	5.93681278178042	54.6342571558382
OR5B3	ENSG00000172769	Olfr1469	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TLR9	ENSG00000239732	Tlr9	0.156760709245018	0.0815266418059325	0.226187831049452	0.550319310987644	2	1	3	7	0.253698623272012	21.5299863698319	0.0579835355750735	1	0.0167051384543571	12.7555656519764
TLR9	ENSG00000173366	Tlr9	0.156760709245018	0.0815266418059325	0.226187831049452	0.550319310987644	2	1	3	7	0.253698623272012	21.5299863698319	0.0579835355750735	1	0.0167051384543571	12.7555656519764
KCNH1	ENSG00000143473	Kcnh1	1.09732496471512	2.77190582140171	1.80950264839562	3.06606473264544	14	34	24	39	2.18619954178947	33.7289868241708	2.49329202972816	43	0.349053903083881	25.8802816901408
AGO4	ENSG00000134698	meif2C4	3.29197489414537	2.44579925417798	3.31742152205863	3.69500108805989	42	30	44	47	3.18754918961047	36.1199454793276	5.97230416423257	103	1.02511228359639	33.8936846887778
LRAT	ENSG00000121207	Lrat	11.4435317748863	5.21770507557968	11.3847874961557	3.69500108805989	146	64	151	47	7.93525635867039	44.2696501590186	0.405884749025514	7	0.075880491498507	17.5204452521581
OTOP2	ENSG00000183034	Otop2	0	0	0.0753959436831507	0.0786170444268063	0	0	1	1	0.0385032470274893	12.9713766469786	0.0579835355750735	1	0.0236570932578839	13.3405270331667
RNF115	ENSG00000121848	Rnf115	18.8112851094021	22.6644064220492	18.5474021460551	20.283197462116	240	278	246	258	20.0765727849056	59.8705134029986	50.8515606993394	877	21.9187761635084	81.5822353475693
CHST12	ENSG00000136213	Chst12	10.8164889379062	10.5984634347712	13.5712698629671	10.9277691753261	138	130	180	139	11.4784978527426	49.0458882326215	9.97316811891264	172	5.58408069368009	53.498409813721
C2orf88	ENSG00000187699	AK217058	0	0.163053283611865	0.150791887366301	0.550319310987644	0	2	2	7	0.216041120491452	20.7689686506134	0.695802426900881	12	1.67663235397803	38.1871876419809
NUP188	ENSG00000095319	Nup188	65.3692157551724	77.6133629992478	63.4833845812129	72.249063828235	834	952	842	919	69.678756790967	86.443661971831	514.255977015326	8869	86.7503335046097	97.2228532485234
GPX2	ENSG00000176153	Gpx2	0	0	0.0753959436831507	0	0	0	1	0	0.0188489859207877	9.41617446615175	0.0579835355750735	1	0.0543425825445862	15.8905043162199
MSMB	ENSG00000138294	Msmb	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR8K3	ENSG00000181689	Olfr1090	0	0	0.0753959436831507	0	0	0	1	0	0.0188489859207877	9.41617446615175	0	0	0	0
PTPRB	ENSG00000127329	Ptprb	14.7355066690317	27.2298983631815	17.7934427092236	26.4153269274069	188	334	236	336	21.5435436672109	61.3982280781463	12.5824272197909	217	0.953358631595007	33.2064970467969
RAB9B	ENSG00000123570	Rab9b	0.235141063867527	0.0815266418059325	0.678563493148356	0.235851133280419	3	1	9	3	0.307770583025559	22.3761926397092	1.04370364035132	18	0.277506950372592	24.6308496138119
CCDC155	ENSG00000161609	Ccdc155	2.27303028405276	0.815266418059325	2.26187831049452	0.471702266560838	29	10	30	6	1.45546931979186	31.2869150386188	1.15967071150147	20	0.524737878507452	28.827805542935
VSIG8	ENSG00000243284	Vsig8	0	0	0.0753959436831507	0.0786170444268063	0	0	1	1	0.0385032470274893	12.9713766469786	0.115967071150147	2	0.0617174407398334	16.5095411176738
TMEM88B	ENSG00000205116	Tmem88b	0.627042836980071	0.489159850835595	0.150791887366301	0.393085222134031	8	6	2	5	0.415019949328999	23.9550204452522	2.37732495857801	41	0.68491067662864	30.8609722853248
PRKAG2	ENSG00000106617	Prkag2	104.167491293314	91.4728921062563	102.463087465402	70.598105895272	1329	1122	1359	898	92.1753941900611	90.2487505679237	23.4833319079048	405	4.23810357478881	48.8641526578828
NMT1	ENSG00000136448	Nmt1	124.546383495167	134.029799128953	112.415352031578	112.422373530333	1589	1644	1491	1430	120.853477046508	93.0656519763744	90.3963319615395	1559	49.1818998702609	93.5427078600636
CD22	ENSG00000012124	Cd22	0	0.163053283611865	0	0	0	2	0	0	0.0407633209029662	14.1412994093594	0.0579835355750735	1	0.0118989401959929	12.3409813721036
GPR111	ENSG00000164393	Gpr111	0.391901773112544	0.489159850835595	0.150791887366301	0.157234088853613	5	6	2	2	0.297271900042013	22.2682871422081	0.405884749025514	7	0.123632272015082	20.1215356656065
SLC15A1	ENSG00000088386	Slc15a1	0.0783803546225088	0.0815266418059325	0.0753959436831507	0.0786170444268063	1	1	1	1	0.0784799961345996	16.0495229441163	0	0	0	0
BATF3	ENSG00000123685	Batf3	1.09732496471512	1.14137298528306	1.73410670471247	0.62893635541445	14	14	23	8	1.15043525253128	29.8216719672876	0.289917677875367	5	0.237248508899646	23.7846433439346
SLC47A1	ENSG00000142494	Slc47a1	30.3331972389109	22.4198264966314	28.047291050132	30.2675621043204	387	275	372	385	27.7669692224987	67.5318037255793	0.231934142300294	4	0.0773113807667647	17.6510676965016
SHARPIN	ENSG00000179526	Sharpin	22.5735421312825	21.9306666457958	26.3131843454196	21.3052190396645	288	269	349	271	23.0306530405406	63.0849613811904	12.9303284332414	223	7.46123971912372	58.8766469786461
PBX4	ENSG00000105717	Pbx4	0.940564255470106	0.733739776253393	0.980147267880959	0.157234088853613	12	9	13	2	0.702921347114518	26.8911858246252	5.27650173733168	91	3.91722474931825	47.6658337119491
NUP210	ENSG00000132182	Nup210	15.9895923429918	35.3010359019688	12.2141428766704	29.8744768821864	204	433	162	380	23.3448120009543	63.4086778736938	248.111548725739	4279	35.268166130169	89.9079963652885
DNAI1	ENSG00000122735	Dnaic1	0.862183900847597	1.22289962708899	0.527771605782055	0.943404533121675	11	15	7	12	0.889064916710079	28.3905043162199	0	0	0	0
TRDV3	ENSG00000256590	Gm6683	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOS1	ENSG00000089250	Nos1	0.548662482357562	0.244579925417798	0.678563493148356	0.235851133280419	7	3	9	3	0.426914258551034	24.0572467060427	1.44958838937684	25	0.287217830270822	24.7785097682871
SOD2	ENSG00000112096	Sod2	175.88551577291	198.272792872028	183.136747206373	214.545914240754	2244	2432	2429	2729	192.960242523016	96.2119491140391	57.1717660770224	986	7.82317543473213	59.8364379827351
C1RL	ENSG00000139178	C1rl	0.70542319160258	0.163053283611865	1.13093915524726	0.62893635541445	9	2	15	8	0.657087996469039	26.4879600181736	0.289917677875367	5	0.0963181654070987	18.8437074057247
TCEA2	ENSG00000171703	Tcea2	10.1110657463036	11.0876232856068	7.69038625568137	8.64787488694869	129	136	102	110	9.38423754363511	46.336892321672	7.76979376705984	134	6.68082009205489	56.6844616083598
FAM83H	ENSG00000180921	Fam83h	2.42979099329777	0.97831970167119	2.11108642312822	1.10063862197529	31	12	28	14	1.65495893501812	32.1274420717856	11.828641257315	204	2.55588618351664	42.4068605179464
PPRC1	ENSG00000148840	Pprc1	44.9119431986976	52.2585773976027	42.9002919557127	53.2237390769479	573	641	569	677	48.3236379072402	79.8500681508405	265.970477682862	4587	50.6610433681642	93.7755565651976
BDKRB1	ENSG00000100739	Bdkrb1	0	0.0815266418059325	0	0	0	1	0	0	0.0203816604514831	11.5856428895956	0	0	0	0
IL17RA	ENSG00000177663	Il17ra	3.05683383027784	4.81007186655002	3.01583774732603	3.85223517691351	39	59	40	49	3.68374465526685	37.1819627442072	9.85720104776249	170	2.03157482435336	40.0783734666061
SGK1	ENSG00000118515	Sgk1	9.32726220007855	10.0277769421297	14.0990414687492	12.1070248417282	119	123	187	154	11.3902763631714	48.9493412085416	11.1908223659892	193	2.45143972968	42.0433893684689
STRIP2	ENSG00000128578	mKIAA1170	42.7956736238898	111.854552557739	37.0948042921101	117.768332551356	546	1372	492	1498	77.3783407562737	87.9656974102681	1.27563778265162	22	0.237770322954636	23.7960018173557
AIG1	ENSG00000146416	Aig1	16.9301565984619	18.7511276153645	18.0950264839562	21.6196872173717	216	230	240	275	18.8489994787886	58.507496592458	8.98744801413639	155	1.05042636911365	34.0867787369378
ATP6V1E1	ENSG00000131100	Atp6v1e1	83.1615562544819	87.5596132995715	79.4673246420408	86.4787488694869	1061	1074	1054	1100	84.1668107663953	89.118582462517	20.9320563426015	361	17.3854288559813	77.1467514766016
KIAA0556	ENSG00000047578	D430042O09Rik	36.6036256087116	27.4744782885993	39.1304947715552	24.6857519500172	467	337	519	314	31.9735876547208	70.678100863244	54.5625069761441	941	8.08692855730608	60.4270786006361
DOPEY2	ENSG00000142197	mKIAA0933	13.716562058939	10.843043360189	12.1387469329873	12.6573441527158	175	133	161	161	12.3389241262078	50.3350749659246	23.1354306944543	399	4.8891442718627	51.2948659700136
SUFU	ENSG00000107882	Sufu	14.3436048959191	15.8976951521568	13.3450820319177	17.2171327294706	183	195	177	219	15.200878702366	54.1117673784643	80.7710650560773	1393	17.9093270634318	77.7317128577919
IL22	ENSG00000127318	Iltifb	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C11orf73	ENSG00000149196	l7Rn6	19.3599475917597	18.9957075407823	17.9442345965899	24.0568155946027	247	233	238	306	20.0891763309337	59.8818718764198	19.9463362378253	344	16.8181587165475	76.4141299409359
ZSCAN22	ENSG00000182318	Zscan22	15.9112119883693	12.5551028381136	12.7419144824525	15.1730895743736	203	154	169	193	14.0953297208272	52.7317128577919	37.3993804459224	645	14.0757924147243	72.5522489777374
DDA1	ENSG00000130311	Dda1	44.7551824894526	43.2091201571442	48.027216126167	39.3085222134031	571	530	637	500	43.8250102465417	77.538618809632	87.9030399318114	1516	38.6386988711259	91.0211267605634
MDC1	ENSG00000137337	Mdc1	80.8101456158066	102.968148600893	80.8998475720207	84.827790936524	1031	1263	1073	1079	87.3764831813111	89.6240345297592	311.313602502569	5369	42.344069981307	92.0604270786006
PTPRK	ENSG00000152894	Ptprk	106.205380513499	84.8692341199757	108.64555484742	76.9660864938433	1355	1041	1441	979	94.1715639936845	90.4986369831895	123.388963703756	2128	13.8250939724096	72.1547024079964
KIT	ENSG00000157404	Kit	17.557199435442	21.767613362184	19.6783413013023	20.283197462116	224	267	261	258	19.8215878902611	59.6263062244434	58.0995026462236	1002	10.3123007891771	65.5667878237165
GATA1	ENSG00000102145	Gata1	0.391901773112544	0.407633209029663	0.226187831049452	0.157234088853613	5	5	3	2	0.295739225511318	22.228532485234	5.21851820175661	90	2.74370042153344	43.1508405270332
CNGA4	ENSG00000132259	Cnga4	0.0783803546225088	0	0	0	1	0	0	0	0.0195950886556272	10.222626079055	0.231934142300294	4	0.0872260783378315	18.2985006815084
APOL3	ENSG00000128284	Gm8221	0.313521418490035	0.32610656722373	0.452375662098904	0.157234088853613	4	4	6	2	0.312309434166571	22.4840981372104	0.289917677875367	5	0.0343871044805322	14.2605633802817
APOL4	ENSG00000100336	Gm8221	0.313521418490035	0.32610656722373	0.452375662098904	0.157234088853613	4	4	6	2	0.312309434166571	22.4840981372104	0.289917677875367	5	0.0343871044805322	14.2605633802817
APOL2	ENSG00000128335	Gm8221	0.313521418490035	0.32610656722373	0.452375662098904	0.157234088853613	4	4	6	2	0.312309434166571	22.4840981372104	0.289917677875367	5	0.0343871044805322	14.2605633802817
APOL1	ENSG00000100342	Gm8221	0.313521418490035	0.32610656722373	0.452375662098904	0.157234088853613	4	4	6	2	0.312309434166571	22.4840981372104	0.289917677875367	5	0.0343871044805322	14.2605633802817
NEIL2	ENSG00000154328	Neil2	1.41084638320516	1.87511276153645	0.904751324197808	2.43712837723099	18	23	12	31	1.6569597115426	32.1331213084961	2.95716031432875	51	1.54501583820729	37.3012267151295
ATP7B	ENSG00000123191	Atp7b	2.74331241178781	3.09801238862544	3.24202557837548	3.14468177707225	35	38	43	40	3.05700803896524	35.9041344843253	24.7009861549813	426	5.24325751538554	52.4647887323944
GLI1	ENSG00000111087	Gli1	0.391901773112544	0.163053283611865	0.376979718415753	1.88680906624335	5	2	5	24	0.704685960345878	26.9309404815993	79.6113943445759	1373	17.4586391106526	77.2035438437074
GLT6D1	ENSG00000204007	Glt6d1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GREM2	ENSG00000180875	Grem2	0	0.0815266418059325	0.150791887366301	0	0	1	2	0	0.0580796322930584	14.5956383462063	2.95716031432875	51	0.789628922384179	31.9059518400727
AP000295.9	ENSG00000249624	Il10rb	28.7655901464607	33.833556349462	27.3687275569837	35.0632018143556	367	415	363	446	31.2577689668155	70.1896865061336	2.8411932431786	49	1.05935616822468	34.166288050886
IL10RB	ENSG00000243646	Il10rb	28.7655901464607	33.833556349462	27.3687275569837	35.0632018143556	367	415	363	446	31.2577689668155	70.1896865061336	2.8411932431786	49	1.05935616822468	34.166288050886
FSTL3	ENSG00000070404	Fstl3	7.36775333451583	22.8274597056611	5.9562795509689	16.8240475073365	94	280	79	214	13.2438850246206	51.5958655156747	2.20337435185279	38	1.1281998729405	34.6490231712858
CCDC71	ENSG00000177352	Ccdc71	26.2574187985405	24.5395191835857	26.7655600075185	28.4593700825039	335	301	355	362	26.5054670180371	66.3618809631985	32.4707799220411	560	10.4474838874006	65.9132212630623
RHO	ENSG00000163914	Rho	0.70542319160258	0.163053283611865	0.904751324197808	0.393085222134031	9	2	12	5	0.541578255386571	25.3237164925034	0.463868284600588	8	0.143346194252345	20.8995910949568
NT5DC1	ENSG00000178425	Nt5dc1	2.6649320571653	2.69037917959577	3.84519312784068	3.30191586592586	34	33	51	42	3.1256050576319	36.04611540209	8.40761265838565	145	3.09558639852196	44.6388005452067
KIAA0895L	ENSG00000196123	4931428F04Rik	12.0705746118664	10.843043360189	10.5554321156411	10.4560669087652	154	133	140	133	10.9812792491154	48.3359836437983	62.0423830653286	1070	16.7275230696491	76.3346206269877
RBBP6	ENSG00000122257	Rbbp6	99.0727682428512	90.4130457627792	98.9194781122937	89.3089624688519	1264	1109	1312	1136	94.428563646694	90.5383916401636	233.557681296396	4028	30.0589036417498	87.59654702408
GBF1	ENSG00000107862	mKIAA0248	81.5155688074092	64.5691003102986	73.8126288658045	63.3653378080059	1040	792	979	806	70.8156589478795	86.704906860518	226.135788742786	3900	94.8954212097297	97.5806451612903
PLP1	ENSG00000123560	Plp1	7.0542319160258	5.70686492641528	7.08721870621616	4.79563971003518	90	70	94	61	6.16098881467311	41.6344843253067	24.8749367617065	429	9.7817289664595	64.283280327124
SLC6A20	ENSG00000163817	Slc6a20b	0.0783803546225088	0	0	0.314468177707225	1	0	0	4	0.0982121330824335	17.3216719672876	1.79748960282728	31	0.52665971369097	28.856201726488
DNAJA2	ENSG00000069345	Dnaja2	125.800469169127	145.688108907201	128.927063698188	139.466636813154	1605	1787	1710	1774	134.970569646918	94.0538391640164	162.295916074631	2799	57.1665783989542	94.758064516129
TST	ENSG00000128311	Tst	8.22993723536343	11.6583097782484	6.03167549465205	10.8491521308993	105	143	80	138	9.19226865979079	46.0813266696956	5.04456759503139	87	4.60270765970017	50.2385279418446
C1orf111	ENSG00000171722	1700015E13Rik	0	0.163053283611865	0.226187831049452	0	0	2	3	0	0.0973102786653293	17.0036347114948	0.115967071150147	2	0.162646663604694	21.5186278964107
CKAP5	ENSG00000175216	mKIAA0097	97.9754432781361	128.649040769762	102.840067183817	103.617264554531	1250	1578	1364	1318	108.270453946562	91.9809177646524	377.704750736029	6514	158.300398464388	98.8073602907769
NID2	ENSG00000087303	Nid2	153.625495060117	170.635261299817	151.395054915767	178.775159026557	1960	2093	2008	2274	163.607742575564	95.25215810995	147.452130967412	2543	28.8951853747623	86.9945479327578
C1QTNF7	ENSG00000163145	C1qtnf7	3.05683383027784	2.44579925417798	2.78964991627657	1.41510679968251	39	30	37	18	2.42684745010372	34.3764198091776	0.115967071150147	2	0.0685384581265644	16.9014084507042
FAM117B	ENSG00000138439	Fam117b	14.1084638320516	16.4683816447984	14.3252292997986	14.7013873078128	180	202	190	187	14.9008655211153	53.7312585188551	78.97357545325	1362	14.2757728585051	72.8532485233984
