"","label"
"SLC4A10",NA
"BRF2",NA
"PSMD11",NA
"NR2F1",NA
"CASK",NA
"SARM1",NA
"TPST2",NA
"FPGS",NA
"QRICH1",NA
"LRP10",NA
"CD101",NA
"INTS7",NA
"SMAD4",NA
"STARD10",NA
"CNTNAP3",NA
"DHX37",NA
"GABRB3",NA
"NDNF",NA
"FARP2",NA
"SLF1",NA
"HDAC4",NA
"CNGB3",NA
"PCDHGA8",NA
"TSPAN4",NA
"FUK",NA
"SULT1A1",NA
"NTS",NA
"MAN1A1",NA
"FAM57B",NA
"RFX8",NA
"NACC1",NA
"ZSWIM4",NA
"PPCS",NA
"SUSD4",NA
"TMEM165",NA
"RIMBP2",NA
"PSMD6",NA
"ITPKA",NA
"MSL2",NA
"RNF146",NA
"NSD2",NA
"SOX11",NA
"SLC34A1",NA
"ADPGK",NA
"TCERG1",NA
"ZBTB18",NA
"TAF6",NA
"BCL11B",NA
"PPM1M",NA
"PUF60",0
"CUX2",NA
"GPC5",NA
"SERPINI1",NA
"SATB2",NA
"CRISPLD1",NA
"ZMYM2",NA
"DBF4",NA
"ZMYND11",NA
"TNFAIP8L3",NA
"PCDHGA12",NA
"ARHGEF2",NA
"CFAP70",NA
"HPS6",NA
"JARID2",NA
"SNCA",NA
"KDM6A",NA
"ASB14",NA
"CALU",NA
"HNRNPL",NA
"KLHL25",NA
"AHDC1",NA
"CTR9",NA
"B9D1",NA
"SPAST",NA
"EIF4G2",NA
"LRRFIP1",NA
"TUBB2A",1
"GGNBP2",NA
"ARHGAP44",NA
"CARD14",NA
"CIC",NA
"DIP2C",NA
"RIPOR3",NA
"CCNT2",NA
"ZC3H14",NA
"PER2",NA
"DCAF7",NA
"MAP2K7",NA
"AMOTL1",NA
"HBD",NA
"PSMC5",NA
"FOXP2",NA
"DACT1",NA
"PAPOLG",NA
"FBXW5",NA
"POTEH",NA
"CTB-186H2.3",NA
"FLJ00273",NA
"CD93",NA
"MFHAS1",NA
"BTRC",NA
"FBH1",NA
"ANO9",NA
"SETD1A",NA
"WNT9B",NA
"LRRC4",NA
"NPIPB5",NA
"ZNF462",NA
"ZMAT5",NA
"TLE3",NA
"CYP17A1",NA
"EFR3A",NA
"ULK1",NA
"S100G",NA
"TRERF1",NA
"IFRD2",NA
"EIF2A",NA
"MOB4",NA
"ANKS4B",NA
"FAM72A",NA
"PARN",NA
"GSTM1",NA
"DNTT",NA
"SNTA1",NA
"KRTAP2-2",NA
"HECTD4",NA
"DEFB128",NA
"TGM6",NA
"NBPF12",NA
"KLHDC10",NA
"HTN1",NA
"SLC28A1",NA
"KATNAL2",NA
"ING1",NA
"MGRN1",NA
"SLC25A46",NA
"CHN2",NA
"C19orf33",NA
"WWC2",NA
"TOP3B",NA
"PRR12",NA
"TTC12",NA
"KCNT1",NA
"MCPH1",NA
"GSS",NA
"MOGS",NA
"PRAMEF10",NA
"HMGN2",NA
"KRTAP5-2",NA
"EIF2AK1",NA
"PPP1R17",NA
"ERI1",NA
"NRG4",NA
"EMSY",NA
"TCEAL1",NA
"MBNL1",NA
"KIAA0232",NA
"DUS1L",NA
"TMEM140",NA
"GRIN1",NA
"SLC16A1",NA
"IFNA5",NA
"HIST1H1A",NA
"TCF24",NA
"RYBP",NA
"HIST1H2BK",NA
"RPS6KA3",NA
"HIST1H1E",NA
"MYH2",NA
"TOMM7",NA
"TMEM14C",NA
"RIPPLY1",NA
"SMIM15",NA
"TPBGL",NA
"BDKRB2",NA
"NRSN2",NA
"IFITM1",NA
"ARF1",NA
"MSH2",NA
"SCNN1D",NA
"RAC3",NA
"RPS12",NA
"SMIM22",NA
"NBPF20",NA
"ZNF71",NA
"EFCAB9",NA
"C2orf72",NA
"PTMS",NA
"ZNF580",NA
"ARF3",NA
"MLANA",NA
"LLPH",NA
"LSM10",NA
"GSTA2",NA
"C3orf56",NA
"BST2",0
"WASHC3",NA
"GATC",NA
"TGFBR3L",NA
"VIP",NA
"UBA6",NA
"NUDCD2",NA
"FCER1G",0
"YWHAZ",NA
"MKX",NA
"BPIFA1",NA
"IL3",NA
"VPREB3",NA
"ABCC5",NA
"MDFI",NA
"CA3",NA
"CD59",NA
"C4orf19",NA
"CARHSP1",NA
"CDH13",NA
"CORO2B",NA
"NDUFB6",NA
"UMODL1",NA
"MRPS28",NA
"HHAT",NA
"SPP2",NA
"ASB17",NA
"PLA2G16",NA
"SLC6A13",NA
"PCDHA8",NA
"TMEM179",NA
"ZNF781",NA
"C11orf24",NA
"GALNT18",NA
"GADD45G",NA
"TLR3",NA
"IL27",NA
"ISL2",NA
"ARHGAP18",NA
"NCKAP1L",NA
"GLYAT",NA
"CST2",NA
"GHRL",NA
"ZDHHC2",NA
"PTPRE",NA
"SNAPC4",NA
"KRTAP10-6",NA
"PRR32",NA
"TMEM39B",NA
"LYPD4",NA
"TMEM249",NA
"FPR3",NA
"DCDC2B",NA
"EBF1",1
"MADCAM1",NA
"AMPD1",NA
"DOT1L",NA
"RNF151",NA
"PRDX6",NA
"AIF1L",NA
"IL20",NA
"LSM3",NA
"MORN4",NA
"FAM168B",NA
"GLTP",NA
"LDLRAD2",NA
"C6orf47",NA
"SCARA3",NA
"KRIT1",NA
"GPR31",NA
"PABPC1L",NA
"GPX4",NA
"ABTB1",NA
"SIRPB2",NA
"ITSN1",NA
"TCF12",NA
"PRKD3",NA
"KLC1",NA
"TPRX1",NA
"C2orf40",NA
"CHCHD4",NA
"UPP1",NA
"DESI2",NA
"PRR23A",NA
"OLFM3",NA
"NUDT4",NA
"SNX22",NA
"TIFA",NA
"EPHB1",NA
"C11orf68",NA
"CACNA1D",NA
"KIRREL3",NA
"PRR30",NA
"ATOH1",NA
"NUAK1",NA
"GVQW3",NA
"TCTE3",NA
"GARNL3",NA
"CALHM3",NA
"EMCN",NA
"EFCAB8",NA
"FAM177A1",NA
"SPRY1",NA
"NCAPG",NA
"AZGP1",NA
"RGS2",NA
"ARHGDIB",NA
"ADTRP",NA
"CD151",NA
"G3BP2",NA
"CXXC5",NA
"RESP18",NA
"EOGT",NA
"TKT",NA
"NT5M",NA
"KATNAL1",NA
"IFI44L",NA
"VGLL2",NA
"RWDD2A",NA
"MPLKIP",0
"IFNG",NA
"EMC9",NA
"KIAA0319",NA
"BAD",NA
"POLRMT",NA
"CEACAM19",NA
"C20orf173",NA
"ARL13A",NA
"ASF1A",NA
"FAM71F2",NA
"MYL12A",NA
"NEFM",NA
"CELA3A",NA
"CDK13",NA
"KIF9",NA
"HES5",NA
"VSIG2",NA
"TMEM241",NA
"SPIC",NA
"NSMCE1",NA
"BRF1",NA
"TM4SF19",NA
"SLC35D2",NA
"OVCA2",NA
"MTHFS",NA
"SOX5",NA
"AADACL4",NA
"SYT1",NA
"CYLC1",NA
"ZNF76",NA
"EXT1",NA
"NALCN",NA
"PIN1",NA
"RRAGC",NA
"EDAR",NA
"RPL12",NA
"EAF1",NA
"LSM1",NA
"TMEM91",NA
"SPDYC",NA
"IFI30",0
"BTBD2",NA
"OVOL1",NA
"EDF1",NA
"ZNF346",NA
"TM4SF1",NA
"TSSC4",NA
"TMEM147",0
"YRDC",NA
"WFS1",NA
"PSD3",NA
"NET1",NA
"OBP2A",NA
"ORM1",NA
"BNIP1",NA
"CD163L1",NA
"TIGAR",NA
"ZC3H8",NA
"PDCD1",NA
"KAZN",NA
"CLEC3A",NA
"UBE2J2",NA
"DEK",NA
"PPP1R3D",NA
"HIST1H4F",NA
"DCAF11",NA
"ADCY5",NA
"MYOZ2",NA
"HAVCR1",NA
"TRAM1L1",NA
"RPUSD1",NA
"KIR2DL3",NA
"LYPD5",NA
"ACBD6",0
"SYT7",NA
"APOL4",NA
"NKIRAS1",NA
"LRRC4C",NA
"KDM1B",NA
"NCCRP1",NA
"MRPL52",NA
"MRPL14",NA
"GCNT7",NA
"CPD",NA
"PRPS1L1",NA
"TMBIM6",NA
"METTL26",NA
"RNASEH2A",NA
"NECAP1",NA
"BPIFB3",NA
"ZFP36L2",NA
"ABHD12B",NA
"EFCAB2",NA
"CCNO",NA
"PAFAH1B3",NA
"ASCL4",NA
"RSC1A1",NA
"CCT7",NA
"TMEM82",NA
"NPBWR1",NA
"IGFBP2",NA
"CDC42EP4",NA
"DTYMK",0
"STAP1",NA
"GNB2",NA
"MFSD3",NA
"PAK1IP1",NA
"RPL15",1
"LRRC14",NA
"DSCAML1",NA
"EEF2",NA
"N4BP2L1",NA
"ITGB1BP1",NA
"PCGF3",NA
"FERMT2",NA
"TRIML1",NA
"EIF4E3",NA
"CADM2",NA
"RTL3",NA
"PPP4R2",NA
"GRIK2",NA
"MCHR2",NA
"TUSC1",NA
"GPR171",NA
"VWA7",NA
"IGF2",NA
"H3F3B",NA
"SLC35A5",NA
"PDGFC",NA
"ARHGEF7",NA
"IDH3G",NA
"SPC25",0
"NIFK",NA
"SULT1B1",NA
"CRIP2",NA
"XXYLT1",NA
"TMEM45A",NA
"CACNA2D3",NA
"RASGEF1B",NA
"SCGN",NA
"FAS",NA
"PPA2",NA
"THEGL",NA
"C6orf106",NA
"PCDHB4",NA
"SORD",NA
"THOC7",NA
"PLVAP",NA
"XKR3",NA
"CDH10",NA
"APH1A",NA
"GTF2I",NA
"SLC35G1",NA
"IPP",NA
"ASPN",NA
"PDCD2",NA
"RTRAF",NA
"C18orf54",NA
"LIPI",NA
"LIN7B",NA
"HYKK",NA
"KLRG2",NA
"GFY",NA
"GALNT14",NA
"SLC36A4",NA
"OSR2",NA
"CAB39",NA
"PSD",NA
"RAB2A",NA
"ARRDC1",NA
"CBX1",NA
"GNB5",NA
"MMD",NA
"ZNF578",NA
"FAM217B",NA
"DBR1",NA
"LRTM2",NA
"SARAF",NA
"C1QL3",NA
"POPDC2",NA
"GPR152",NA
"OSER1",NA
"PYHIN1",NA
"FSCB",NA
"CCR7",NA
"TOR1AIP2",NA
"ZNF362",NA
"FOXD3",NA
"ENTR1",NA
"HELZ2",NA
"CCDC115",NA
"GDPD4",NA
"HNRNPU",NA
"NXPE4",NA
"VCL",NA
"PLIN2",NA
"ZNF697",NA
"AXIN2",NA
"PNPLA7",NA
"ST3GAL6",NA
"PLIN4",NA
"SCAMP2",0
"ZNF517",NA
"LRRC74A",NA
"TANC2",NA
"RETREG2",NA
"TP53I13",NA
"HIBADH",NA
"CD63",NA
"AMD1",NA
"GABRB1",NA
"TNFRSF19",NA
"CCIN",NA
"DBX2",NA
"CACNG3",NA
"STMN4",NA
"TDO2",NA
"STN1",NA
"FCRL6",NA
"NME9",NA
"PSMB5",NA
"NOXO1",NA
"TMEM102",NA
"FGF14",NA
"CRAMP1",NA
"ICE1",NA
"PRSS38",NA
"BTNL8",NA
"RPL11",NA
"STPG2",NA
"SYCE1",NA
"RNF220",NA
"GALR2",NA
"OSBPL7",NA
"FAM200A",NA
"TRIM38",NA
"TLDC1",NA
"RPGRIP1L",NA
"HSPA13",NA
"SEC11A",NA
"ST6GALNAC2",NA
"PRDM16",NA
"PAFAH1B2",NA
"ING2",NA
"SLC24A1",NA
"PIP4K2B",NA
"BTBD16",NA
"NAA40",NA
"GSDMC",NA
"SMAP2",NA
"PEX11B",NA
"LRRIQ1",NA
"FOS",NA
"E2F6",NA
"NFIL3",NA
"CYBRD1",NA
"PPP1R7",NA
"SLC35A3",NA
"SRPK2",NA
"PRPF4B",NA
"POC5",NA
"RNF212B",NA
"ELOVL2",NA
"CDK18",NA
"INSIG1",NA
"MKS1",NA
"FAM200B",NA
"GPR26",NA
"HIC2",NA
"RAB40B",NA
"ADAR",NA
"LRRC17",NA
"BTN1A1",NA
"PRRT1",NA
"NAXE",NA
"FANCL",NA
"BTBD19",NA
"ELAVL2",NA
"RHOV",NA
"SERPINE3",NA
"PSG9",NA
"UNC93B1",NA
"MIDN",1
"HCRTR1",NA
"ASB4",NA
"CDH12",NA
"HOXD1",NA
"SIGLEC8",0
"SLC35A2",NA
"ZNF548",NA
"DOCK8",0
"TBPL2",NA
"CORO1C",NA
"DNAJC8",NA
"CLPTM1",NA
"ANP32D",NA
"ANKEF1",NA
"SCNM1",NA
"NUDT6",NA
"OSBPL3",NA
"GNG11",NA
"PLEKHO1",NA
"ETV2",NA
"EPCAM",NA
"CTAGE1",NA
"THBS4",NA
"YBX1",NA
"HRAS",NA
"ZNF26",NA
"TBL3",NA
"ITPRIPL1",NA
"ZNF813",NA
"YIF1B",NA
"GNAI1",NA
"VSTM2L",NA
"OASL",NA
"KREMEN1",NA
"ZNF286A",NA
"ADCY7",NA
"ZNF211",NA
"ZNF488",NA
"DCP1A",NA
"SHISA9",0
"MEX3B",NA
"CHAMP1",NA
"C3orf58",NA
"PPP6C",NA
"WDR26",NA
"PRDM5",NA
"RFTN1",NA
"PACRG",NA
"DERA",NA
"MAZ",NA
"KIAA0825",0
"PCOLCE",NA
"LMAN1L",NA
"KLHDC2",NA
"CRHBP",NA
"HAPLN3",NA
"UQCRC2",NA
"MRE11",NA
"RASSF2",NA
"NHLRC4",NA
"CUEDC1",NA
"ANKRD53",NA
"TRIM73",NA
"TAPBP",0
"TMEM151A",NA
"HIST1H2BH",NA
"ZNF354C",NA
"ANTXR2",NA
"PHF23",NA
"DENND2C",NA
"ZIC2",NA
"CCDC43",NA
"MSTN",NA
"GIMAP8",NA
"SLC25A30",NA
"CCDC125",NA
"L1TD1",NA
"HRASLS2",NA
"CACTIN",NA
"IL11RA",NA
"HAUS3",NA
"ODF3B",NA
"ZNF689",NA
"TCF15",NA
"KIAA0754",NA
"RUNDC3B",NA
"SLC30A2",NA
"PRKD1",NA
"PHF12",NA
"RASSF7",NA
"ACE",NA
"BLCAP",NA
"TWF2",NA
"DDX60",NA
"PHF24",NA
"CNPPD1",NA
"MOS",NA
"TRIM17",NA
"CHRM4",NA
"RAB6B",NA
"RAPH1",NA
"SYP",NA
"PHF7",NA
"ADRM1",NA
"FLCN",NA
"ZNF559",NA
"ZNF710",NA
"CCDC113",NA
"CCDC87",NA
"CYP27C1",NA
"METTL17",NA
"ZNF490",NA
"GPRIN1",NA
"LRRC37A3",NA
"ZFYVE9",NA
"RTN4RL2",NA
"USP29",NA
"TUBA3C",NA
"P2RX5",NA
"AMBP",NA
"GRK7",NA
"ZNF699",NA
"ZWILCH",NA
"CDKN2AIP",NA
"FXYD7",NA
"STAM",NA
"SATB1",NA
"BARX2",NA
"MCM6",NA
"ENTPD2",NA
"TERF2",NA
"CYP1A1",NA
"MMP27",NA
"TUB",NA
"LMNTD1",NA
"TSNARE1",NA
"LZTS3",NA
"SDR42E1",NA
"PPP5C",NA
"SETD7",NA
"MANEA",NA
"FOSB",NA
"MOCS3",NA
"OPN5",NA
"ZFP14",NA
"DPYSL2",NA
"LRFN4",NA
"SLC6A8",NA
"CSTF2T",NA
"IRX5",NA
"TYW5",NA
"ZNF454",NA
"GPBP1",NA
"GRAMD2B",NA
"DNTTIP2",NA
"MRPS5",NA
"ERF",NA
"ZDHHC14",NA
"FOXH1",NA
"ECSIT",NA
"MAPKAPK3",NA
"MAST1",NA
"DGUOK",NA
"PARPBP",NA
"COIL",NA
"ZNF638",NA
"TACC3",NA
"ENTPD6",NA
"EIF6",NA
"NFE2L2",NA
"C10orf90",NA
"DOCK6",NA
"PLD4",0
"SMARCE1",NA
"CHST14",NA
"SLC47A2",NA
"PCBP4",NA
"SPARCL1",NA
"STKLD1",NA
"ADSS",NA
"LRRTM2",NA
"FABP4",NA
"IPPK",NA
"MRS2",NA
"SLC38A7",NA
"MYO5A",NA
"MRTFB",NA
"ZBTB7A",NA
"SMYD2",NA
"GALNT2",NA
"CLHC1",NA
"SLC22A14",NA
"ZNF821",NA
"BBOX1",NA
"PGAM5",NA
"ZNF438",NA
"DBF4B",NA
"MRGPRX1",NA
"CLTRN",NA
"CHRFAM7A",NA
"SDSL",NA
"HJURP",NA
"JPH3",NA
"RXYLT1",NA
"RTN1",NA
"SLC35E2A",NA
"CILP",NA
"NDUFB2",NA
"USP4",NA
"BSDC1",NA
"MEST",NA
"AVPR1A",NA
"DIP2A",NA
"SLC4A9",NA
"RRAGA",NA
"BTBD17",NA
"CCM2L",NA
"THAP5",NA
"DELE1",NA
"BIRC3",NA
"COCH",NA
"RCOR3",NA
"C7orf43",NA
"HIST1H2AA",NA
"ZNF229",NA
"PGLYRP2",NA
"NKAPL",NA
"MTMR12",NA
"BRD3",NA
"GALNT3",NA
"TIGD7",NA
"SHE",NA
"HAP1",NA
"PHAX",NA
"BZW1",NA
"CDK15",NA
"INAVA",NA
"PTPRA",NA
"PNP",NA
"ANAPC2",NA
"DMBX1",NA
"SNRNP35",NA
"GRIA1",NA
"TSKS",NA
"BCHE",NA
"REM1",NA
"MEMO1",NA
"GPC1",NA
"LILRB2",NA
"ADGB",NA
"ZNF107",NA
"ZNF805",NA
"DHX57",NA
"DUOXA1",NA
"NAXD",NA
"ZNF143",NA
"ANGPTL1",NA
"PMEL",NA
"PICALM",NA
"CHRNA9",NA
"E2F7",NA
"TTYH2",NA
"LGALS3",NA
"FDX1",NA
"CABP4",NA
"SAP30",NA
"FLRT2",NA
"CRYBA4",NA
"PLEK2",NA
"OTOP2",NA
"RGS1",0
"ALOX5AP",0
"APMAP",NA
"LPXN",NA
"PITPNA",NA
"RGS14",NA
"LRRC30",NA
"CD6",NA
"LRFN2",NA
"ZAP70",NA
"DOK1",NA
"SMG9",NA
"MCRS1",0
"TPI1",NA
"SEC61A1",NA
"BMP7",NA
"ATP1B1",NA
"KYAT3",NA
"HID1",NA
"XKRX",NA
"PRELID3B",NA
"PTGER4",NA
"SF3B5",NA
"ZFP2",NA
"CD248",NA
"ZNF251",NA
"GAB3",NA
"ARRDC2",NA
"EIF2B1",NA
"MVK",NA
"CCDC144A",NA
"KYNU",NA
"ZNF605",NA
"GPRC5B",NA
"CBL",NA
"TRIM24",NA
"SERINC5",NA
"CBX5",1
"FAU",NA
"SLC39A12",NA
"CNOT2",NA
"SMCR8",NA
"P2RX7",NA
"POLI",NA
"PTK2B",NA
"IDI2",NA
"LFNG",NA
"ZNF687",NA
"FCRL3",NA
"FMN2",NA
"CCS",NA
"FAM111B",NA
"HCRTR2",NA
"PLA1A",NA
"ZFPM1",NA
"MFRP",NA
"PCGF2",NA
"LPGAT1",NA
"LRRC19",NA
"MTFMT",NA
"ZNF366",NA
"LHX2",NA
"MAFB",NA
"USF2",NA
"ETFB",NA
"RPL21",NA
"TPPP",NA
"DENR",NA
"CELF2",NA
"BLK",NA
"POLR3D",NA
"HIST2H3D",NA
"NBPF3",NA
"LEMD3",NA
"DPP6",NA
"MYCBP2",NA
"LINGO3",NA
"RUNDC1",NA
"POU2AF1",NA
"FAM169A",NA
"GPSM1",NA
"COPS8",NA
"MPP6",NA
"ARMC2",NA
"KRT26",NA
"MAP1S",NA
"TINF2",NA
"DCDC2",NA
"CPNE3",NA
"PGM2L1",1
"LBR",NA
"GADD45B",NA
"TMEM128",NA
"PAXIP1",NA
"COP1",NA
"ENOSF1",NA
"DNA2",NA
"UBTD2",NA
"TRAPPC6B",NA
"CPE",NA
"NFATC1",NA
"ZNF234",NA
"RNF25",NA
"TMPRSS5",NA
"CYBC1",NA
"CDON",NA
"KCNG3",NA
"ECM2",NA
"HIST1H4E",NA
"PDHB",NA
"SGK3",NA
"CIB1",NA
"CDK19",NA
"EIF2AK2",NA
"KIAA1522",NA
"EEF1G",NA
"DISP1",NA
"ARL4A",NA
"CCPG1",NA
"RIF1",NA
"NEUROD2",NA
"CEP128",NA
"WDR45",NA
"BTBD10",NA
"PRDX4",NA
"FKBP14",NA
"CHML",NA
"ORMDL2",NA
"UVSSA",NA
"UBE2V1",NA
"ZBTB20",1
"VEGFB",NA
"OAF",NA
"SETD2",NA
"HSF1",NA
"CRTC2",NA
"RAD21L1",NA
"MICU2",NA
"MMP15",NA
"CRYBG3",NA
"HCAR2",NA
"CHRNA2",NA
"CCDC138",NA
"NOBOX",NA
"TBC1D23",NA
"MRRF",NA
"GALNT9",NA
"SPOUT1",NA
"HIST1H4J",NA
"ATP8B1",NA
"SLCO1B3",NA
"DCDC1",NA
"LPAR4",NA
"CNDP1",NA
"ARPC1A",NA
"PTGR1",NA
"SUCLG2",NA
"FAM149A",NA
"HSPA14",NA
"CAMK2A",NA
"WTIP",NA
"HBB",NA
"FGFRL1",NA
"SCUBE2",NA
"NFKBIL1",NA
"FAM117B",NA
"AFG1L",NA
"LRRTM3",NA
"SRP54",NA
"CD53",0
"IGF2BP2",NA
"MRPS22",NA
"APOBEC2",NA
"CASP8",NA
"CAMLG",NA
"AHRR",NA
"KCNK6",NA
"PRMT2",NA
"CMKLR1",NA
"CNPY2",NA
"SHQ1",NA
"FAM210A",NA
"EIF5A",0
"AVL9",NA
"PELI3",NA
"SLC25A39",NA
"ATP2B2",NA
"CCDC73",NA
"SH3BP1",NA
"SCP2",NA
"PERP",NA
"CORO6",NA
"SHD",NA
"HDAC7",NA
"HIST1H2AE",NA
"TFAP4",NA
"JDP2",NA
"RELN",NA
"SPRED3",NA
"PRDM1",NA
"POR",NA
"ZNF99",NA
"CHAF1A",NA
"GEMIN8",NA
"BANK1",NA
"AP2S1",0
"CYP2D6",NA
"CENPV",NA
"MXD4",NA
"CACFD1",NA
"PITHD1",NA
"H2AFV",NA
"PRPF39",NA
"SGSM3",NA
"KLHL36",NA
"ASNS",NA
"INSYN1",NA
"SOCS7",NA
"SMEK2",NA
"MBD6",NA
"VWC2",NA
"PNKP",NA
"GGA3",NA
"AKR1C2",NA
"ENAM",NA
"SCIN",NA
"TTC31",NA
"LRRC27",NA
"DNAJB5",NA
"TOB1",NA
"USPL1",NA
"NKAIN1",NA
"ZNF326",NA
"SCN2B",NA
"AP1M1",NA
"DTX4",NA
"SYT3",NA
"BMX",NA
"HIST1H3B",NA
"GPR21",NA
"AP1S3",NA
"FGB",NA
"RAD51AP2",NA
"RHPN1",NA
"HIST1H4L",NA
"CCNJL",NA
"KCNMA1",NA
"PIK3CA",NA
"PIK3IP1",NA
"HHIP",NA
"CATSPER1",NA
"UBC",1
"ADAM7",NA
"LGSN",NA
"OGFR",NA
"BHLHA9",NA
"AMER3",NA
"POLR3F",NA
"ATP23",NA
"PRMT9",NA
"SH3RF3",NA
"TNRC6B",1
"TTC30A",NA
"TLR10",NA
"KCNH7",NA
"PDF",NA
"SNAP91",NA
"RAP1A",NA
"AKAP10",NA
"CSNK1G3",NA
"HCN2",NA
"FSHR",NA
"SPO11",NA
"INSIG2",NA
"COLEC10",NA
"TSPAN17",NA
"UBE2H",NA
"IMPACT",NA
"DLX4",NA
"ELL2",NA
"CEP85L",NA
"SIX2",NA
"EMC4",NA
"GABRB2",NA
"MAK",NA
"TAOK2",NA
"CRYGS",NA
"DNASE1L3",NA
"PDCD6",NA
"ADA",NA
"MTMR2",NA
"GPR1",NA
"LGALS8",NA
"WDR20",NA
"ALOXE3",NA
"PRKRA",NA
"AP4M1",NA
"SRRM2",1
"UCKL1",NA
"SCN3B",NA
"PSMB10",NA
"REEP5",NA
"DYRK1B",NA
"NXNL1",NA
"ZNF790",NA
"KCTD2",NA
"ADCY9",NA
"CLIP1",NA
"HPF1",NA
"TRIP11",NA
"ADAMTS15",NA
"DTWD1",NA
"DCTN5",NA
"SLCO3A1",NA
"LARP4B",NA
"DOC2B",NA
"CD74",0
"KCNS3",NA
"CCSER1",NA
"TMEM169",NA
"ORC3",NA
"STMN2",1
"ITCH",NA
"RTKN",NA
"ZNF91",NA
"CDC40",NA
"CROCC2",NA
"ZNF555",NA
"PTPRR",NA
"HMGB1",1
"C1orf127",NA
"TPD52L1",NA
"ZNF385D",NA
"B4GALNT1",NA
