"","label"
"RAC3",NA
"OSBPL7",NA
"CDH10",NA
"ZDHHC2",NA
"TNRC6A",NA
"WDFY3",1
"CASK",NA
"WNT7B",NA
"CACNA1I",NA
"RFX3",1
"TBL3",NA
"CLPTM1",NA
"LRP10",NA
"UPP1",NA
"MARK2",1
"CDH12",NA
"SYT1",NA
"SMAD4",NA
"RRAGC",NA
"MCM6",NA
"RASGEF1B",NA
"NR4A2",NA
"ARHGEF18",NA
"KMT2E",NA
"CADM2",NA
"GNB2",NA
"CFAP70",NA
"MTMR12",NA
"CRIP2",NA
"PHF2",NA
"FLCN",NA
"TUB",NA
"DCDC1",NA
"SCN7A",NA
"DNAH5",NA
"RBBP5",NA
"ANAPC2",NA
"FBH1",NA
"SMAD6",NA
"NCKAP1",1
"ZAP70",NA
"ECSIT",NA
"E2F7",NA
"AFF3",NA
"GABRA1",NA
"POTEH",NA
"FLJ00273",NA
"ADAMTS15",NA
"KDM3B",NA
"COP1",NA
"EPB41L4B",NA
"GSTM1",NA
"BTBD17",NA
"TAF6",NA
"SEC61A1",NA
"SCN1A",NA
"NBPF12",NA
"HTN1",NA
"CHRNA9",NA
"PRAMEF10",NA
"KRTAP5-2",NA
"HMGN2",NA
"PPP1R17",NA
"NRG4",NA
"BLK",NA
"DMBX1",NA
"COL28A1",NA
"IFNA5",NA
"TCF24",NA
"FUK",NA
"HIST1H1A",NA
"PDS5A",0
"CASKIN1",NA
"TOMM7",NA
"HIST1H2BK",NA
"TMEM14C",NA
"SGSM3",NA
"TPBGL",NA
"SMIM15",NA
"NRSN2",NA
"KCND2",NA
"CAMK2A",NA
"SCIN",0
"ARHGEF2",NA
"SIPA1",NA
"HDAC4",NA
"IFITM1",NA
"C2orf72",NA
"PTMS",NA
"MLANA",NA
"PAPOLG",NA
"RPS12",NA
"GARNL3",NA
"C3orf56",NA
"BST2",NA
"LLPH",NA
"ZNF580",NA
"LSM10",NA
"WASHC3",NA
"NUDCD2",NA
"KLHL25",NA
"C4orf19",NA
"CD59",NA
"EPHB1",NA
"MDFI",NA
"FOXG1",NA
"ZNF781",NA
"TMEM179",NA
"TUBB2A",NA
"METTL23",NA
"IL27",NA
"C11orf24",NA
"MYH2",NA
"CST2",NA
"BCAN",NA
"UCKL1",NA
"PRR32",NA
"KLHL36",NA
"MADCAM1",NA
"TMEM249",NA
"ATF4",NA
"GADD45G",NA
"IL20",NA
"CUL1",NA
"LSM3",NA
"TPRX1",NA
"SIRPB2",NA
"PRR23A",NA
"C2orf40",NA
"HMCN2",NA
"LDLRAD2",NA
"PRDX6",NA
"GLTP",NA
"TFAP4",NA
"GPR31",NA
"TOP3B",NA
"TIFA",NA
"SNX22",NA
"TLE4",NA
"EFCAB8",NA
"EMCN",NA
"GSS",NA
"FXYD5",NA
"FAM177A1",NA
"IFI44L",NA
"ADTRP",NA
"CALHM3",NA
"FAM71F2",NA
"RGS2",NA
"ECE1",NA
"SPRY1",NA
"VGLL2",NA
"RWDD2A",NA
"PXN",NA
"BAD",NA
"EMC9",NA
"EBAG9",NA
"VSIG2",NA
"P4HA2",NA
"ZFAND5",NA
"AADACL4",NA
"ASF1A",NA
"SPDYC",NA
"OBP2A",NA
"TSSC4",NA
"SLC35D2",NA
"ZNF346",NA
"IFI30",NA
"OVOL1",NA
"OVCA2",NA
"ZC3H8",NA
"PRKAR1B",NA
"DEK",NA
"PIN1",NA
"EDF1",NA
"RPGRIP1L",NA
"APOL4",NA
"MRPL52",NA
"HAVCR1",NA
"LYPD5",NA
"PSMA3",NA
"BPIFB3",NA
"ACBD6",NA
"RPUSD1",NA
"RSC1A1",NA
"ABHD12B",NA
"TMBIM6",NA
"PPP1R3D",NA
"SACS",NA
"LRRC14",NA
"NKIRAS1",NA
"GABRB3",NA
"FGF19",NA
"ZFP36L2",NA
"EFCAB2",NA
"FBXO22",NA
"SRGAP3",NA
"TMEM82",NA
"DNAJC5",NA
"NIFK",NA
"ITGB1BP1",NA
"TRIML1",NA
"TMEM116",NA
"RIMS1",NA
"THEGL",NA
"EIF4E3",NA
"PPP4R2",NA
"CDC42EP4",NA
"MCHR2",NA
"SPC25",NA
"TUSC1",NA
"IGFBP2",NA
"XKR3",NA
"HIST1H4F",NA
"PCGF3",NA
"GPR171",NA
"MFSD3",NA
"SULT1B1",NA
"SLC6A7",NA
"GFY",NA
"KLRG2",NA
"ZNF578",NA
"GTF2I",NA
"C18orf54",NA
"XXYLT1",NA
"FAM217B",NA
"LIN7B",NA
"FAS",NA
"FSCB",NA
"PYHIN1",NA
"SORD",NA
"THOC7",NA
"ASCL4",NA
"PDCD2",NA
"C6orf106",NA
"OSER1",NA
"HYKK",NA
"GDPD4",NA
"ASPN",NA
"APH1A",NA
"ARRDC1",NA
"RTRAF",NA
"LRTM2",NA
"ZNF362",NA
"SLC6A13",NA
"IGF2",NA
"PLIN2",NA
"POPDC2",NA
"ZNF517",NA
"C1QC",NA
"ZNF697",NA
"PSMC4",NA
"FCRL6",NA
"ST3GAL6",NA
"SYCE1",NA
"LIPI",NA
"NOXO1",NA
"RGMA",NA
"TANC2",NA
"STMN4",NA
"HIBADH",NA
"CCR7",NA
"GSDMC",NA
"TAOK1",NA
"TRIM38",NA
"PSMB5",NA
"SPRY2",NA
"DBX2",NA
"CCIN",NA
"CD63",NA
"UBB",NA
"RNF212B",NA
"FAM200B",NA
"UBE3C",NA
"AMD1",NA
"ST6GALNAC2",NA
"NAA40",NA
"SEC11A",NA
"SIGLEC8",NA
"PRSS38",NA
"C1QL3",NA
"MYH11",NA
"NFIL3",NA
"PPP1R7",NA
"CTAGE1",NA
"BTN1A1",NA
"LRRC17",NA
"FGF14",NA
"NAXE",NA
"NLGN2",NA
"ZNF813",NA
"INSIG1",NA
"CMPK2",NA
"ZNF396",NA
"ITPRIPL1",NA
"DCP1A",NA
"DNAJC8",NA
"ZNF26",NA
"PLEKHO1",NA
"PIP4K2B",NA
"ZNF211",NA
"SERPINE3",NA
"ZNF488",NA
"CTBP2",NA
"ASB4",NA
"ZNF286A",NA
"ZBTB45",NA
"HCRTR1",NA
"MAZ",NA
"HOXD1",NA
"L1TD1",NA
"CCDC43",NA
"SLC35A2",NA
"GIMAP8",NA
"KIAA0754",NA
"LMAN1L",NA
"ODF3B",NA
"RASSF2",NA
"PACRG",NA
"RHOV",NA
"HAPLN3",NA
"YIF1B",NA
"CUEDC1",NA
"PPP6C",NA
"ZNF490",NA
"CCDC113",NA
"LRRC37A3",NA
"PHF24",NA
"PRRT1",NA
"RASSF7",NA
"DERA",NA
"CRHBP",NA
"TBCEL",NA
"TRIM17",NA
"METTL17",NA
"MEX3B",NA
"RFX8",NA
"HRAS",NA
"ZNF710",NA
"MSTN",NA
"CDKN2AIP",NA
"TWF2",NA
"ZWILCH",NA
"INSC",NA
"GPBP1",NA
"TERF2",NA
"PHF7",NA
"STAM",NA
"TMEM151A",NA
"LZTS3",NA
"DNTTIP2",NA
"SUSD4",NA
"PARPBP",NA
"SLC25A30",NA
"CYP27C1",NA
"ZFP14",NA
"FOSB",NA
"PSMD6",NA
"GRK7",NA
"DBF4B",NA
"PLD4",NA
"HJURP",NA
"ZIC2",NA
"SLC47A2",NA
"TMEM165",NA
"CHRM4",NA
"TYW5",NA
"ZNF438",NA
"OPN5",NA
"LRRTM2",NA
"LRFN4",NA
"IPPK",NA
"SPARCL1",NA
"SLC38A7",NA
"NFE2L2",NA
"ZNF229",NA
"RAB6B",NA
"MANEA",NA
"CTDSPL2",NA
"TSKS",NA
"SLC22A14",NA
"LILRB2",NA
"NKAPL",NA
"INAVA",NA
"BSDC1",NA
"MOS",NA
"RXYLT1",NA
"SHE",NA
"IRX5",NA
"SETD7",NA
"ZBTB18",NA
"FOXH1",NA
"BARX2",NA
"DGUOK",NA
"PGLYRP2",NA
"TCF15",NA
"BRD3",NA
"ZBTB7A",NA
"ZNF865",NA
"ADSS",NA
"SERPINI1",NA
"ZNF143",NA
"RGS14",NA
"SNRNP35",NA
"PGAM5",NA
"DUOXA1",NA
"RAB11FIP4",NA
"TTYH2",NA
"RARA",NA
"APMAP",NA
"MEMO1",NA
"SMG9",NA
"GPC1",NA
"MSH2",NA
"ZFP2",NA
"FCRL3",0
"FLRT2",NA
"PLEK2",NA
"ZFPM1",NA
"CNOT2",NA
"PNP",NA
"TCF7L2",NA
"B9D1",NA
"ZNF687",NA
"ARRDC2",NA
"DOK1",NA
"SLC6A19",NA
"CRYBA4",NA
"SRRM2",NA
"POLI",NA
"MFRP",NA
"XKRX",NA
"REM1",NA
"FAM169A",NA
"ACO2",NA
"TSHZ1",NA
"LPXN",NA
"ZNF366",NA
"LRFN2",NA
"ARMC2",NA
"CCPG1",NA
"RNF25",NA
"DCAF7",NA
"ZNF234",NA
"MAP2K7",NA
"UMODL1",NA
"KYAT3",NA
"FMR1",NA
"CRYBG3",NA
"CRTC2",NA
"TINF2",NA
"BICRA",NA
"CELF2",NA
"ENOSF1",NA
"CPE",NA
"TPI1",NA
"MPP6",NA
"FAM149A",NA
"LFNG",NA
"FBXW5",NA
"CCDC138",NA
"CCDC73",NA
"KIAA1958",NA
"MICU2",NA
"LRRC4",NA
"TMPRSS5",NA
"BANK1",NA
"MYBL2",NA
"CDK19",NA
"SLCO1B3",NA
"FAM117B",NA
"ENAM",NA
"DCDC2",NA
"ZBTB20",NA
"SHQ1",NA
"WNT9B",NA
"WDR45",NA
"IFRD2",NA
"OCA2",NA
"USPL1",NA
"PRMT2",NA
"CASP8",NA
"DNTT",NA
"SPOUT1",NA
"SOCS7",NA
"LRRTM3",NA
"ETFB",NA
"AVL9",NA
"HSF1",NA
"KLHDC10",NA
"AMER3",NA
"CHML",NA
"CEP85L",NA
"ING1",NA
"RHPN1",NA
"OGFR",NA
"PNKP",NA
"AKAP10",NA
"PRDM1",NA
"SLC25A46",NA
"LINGO3",NA
"SUCLG2",NA
"MRPS22",NA
"CSNK1G3",0
"LDB1",NA
"RAP1GAP2",NA
"ELL2",NA
"ZNF555",NA
"DNAJB5",NA
"C10orf12",NA
"MBNL1",NA
"PRMT9",NA
"DUS1L",NA
"SLC25A39",NA
"ORC3",NA
"RNF38",NA
"PNN",NA
"MAFB",NA
"SLC16A1",NA
"HHIP",NA
"SH3RF3",NA
"PDE4DIP",NA
"ATAT1",NA
"MAK",NA
"RTKN",NA
"MAPK8IP2",NA
"EGFR",NA
"BMX",NA
"NAPRT",NA
"NME8",NA
"SAMD11",NA
"PCYT1A",NA
"TMEM260",NA
"ADCY9",NA
"TSPAN17",NA
"RSPH4A",NA
"WDR20",NA
"RNF217",NA
"PHF21A",NA
"DYRK1B",NA
"HUNK",NA
"ZP4",NA
"SYNCRIP",NA
"ZNF226",NA
"SRSF11",NA
"RUNX1T1",NA
"CDC40",NA
"SP140",NA
"MAD1L1",NA
"ATAD2B",NA
"TNFAIP3",NA
"INTS14",NA
"B4GALNT1",NA
"KCTD19",NA
"ARID2",NA
"CELF4",NA
"NHLRC4",NA
"ACSM3",NA
"KIF21A",NA
"ADAM8",NA
"PTDSS2",NA
"HIST1H2BH",NA
"BRF2",NA
"FSHR",NA
"TBX21",NA
"PTK2B",NA
"AJUBA",NA
"C4orf54",NA
"SCAF1",NA
"HDAC11",NA
"ZNF853",NA
"ATP6V1H",NA
"NUP188",NA
"NOL4L",NA
"ICE2",NA
"BLCAP",NA
"SYTL3",0
"ADA",NA
"PRDM6",NA
"LGR5",NA
"TRA2A",NA
"AGGF1",NA
"LRRCC1",NA
"PPP4R4",NA
"DOCK6",NA
"MLH1",NA
"DVL3",NA
"FXYD7",NA
"RECQL",NA
"LEO1",NA
"GSK3B",NA
"SH3D19",NA
"FBXL2",NA
"QRICH1",NA
"TGM1",NA
"EIF2B5",NA
"GLYR1",NA
"MLXIP",NA
"PHIP",NA
"SALL3",NA
"MROH8",NA
"PLEKHM1",NA
"CNKSR1",NA
"PPM1D",NA
"SLF1",NA
"FABP4",NA
"STAU1",NA
"PPP1R3A",NA
"AKT1",NA
"MRGPRX1",NA
"TRMT1L",NA
"DOCK5",NA
"SLC25A1",NA
"CHM",NA
"NDUFB2",NA
"PAX5",NA
"ARHGAP20",NA
"FOXN4",NA
"DNA2",NA
"CLTRN",NA
"PINK1",NA
"REXO1",NA
"NTS",NA
"SLC27A3",NA
"LNX2",NA
"ACOX2",NA
"MPP5",NA
"UBN2",1
"CHRFAM7A",NA
"GLIS3",NA
"SUFU",NA
"CAPN8",NA
"ATP1A1",NA
"HIST1H2AA",NA
"ANKRD13A",NA
"NPAT",NA
"DUS3L",NA
"NMT1",NA
"EFL1",NA
"MORC1",NA
"COX15",NA
"LGALS3",NA
"BCAR1",NA
"NCAPG",NA
"MAPK9",NA
"CLCA2",NA
"DUSP27",NA
"DGKE",NA
"FDX1",NA
"ZNF618",NA
"CDHR3",NA
"GPSM1",NA
"MORC4",NA
"PRELID3B",NA
"CRYBG1",NA
"TUBGCP4",NA
"PLA2G4F",NA
"AGPAT4",NA
"CHD3",NA
"KIF9",NA
"OGA",NA
"TRPM6",NA
"BTBD6",NA
"LRRC19",NA
"RIMBP2",NA
"ZSWIM4",NA
"EXT1",NA
"CBX5",NA
"SF3B5",NA
"ANKMY1",NA
"NFIB",NA
"SLC7A7",NA
"BAZ1A",NA
"ZC3H18",NA
"RPL21",NA
"CEP131",NA
"DCAF11",NA
"COPS8",NA
"SMARCD1",NA
"MED25",NA
"ARHGAP26",0
"DNAJC10",NA
"TMEM128",NA
"BTBD2",NA
"NR2F6",NA
"EIF3G",NA
"CFI",NA
"NRP1",NA
"PRDX4",NA
"AHDC1",NA
"C3",NA
"DSG3",NA
"NEFM",NA
"COG5",NA
"SPTBN1",NA
"HSPD1",NA
"MAN1A1",NA
"ARNTL",NA
"PCDHGA6",NA
"POLR2B",0
"GALNT5",NA
"SEMA6A",NA
"AGBL2",NA
"THRB",NA
"RBM19",NA
"LIFR",NA
"ARL4A",NA
"ASXL2",NA
"HPS6",NA
"R3HDM2",NA
"HIST1H4E",NA
"CNPY2",NA
"CAMLG",NA
"PFKFB2",NA
"RACGAP1",NA
"FAM210A",NA
"IFT80",NA
"AMOTL1",NA
"FAM129B",NA
"KCNK6",NA
"SHD",NA
"GEMIN8",NA
"IFT88",NA
"FERMT2",NA
"AKR1C2",NA
"NCBP1",NA
"MYH15",NA
"CENPV",NA
"CCT7",NA
"ZC3H14",NA
"GGNBP2",NA
"MXD4",NA
"INSYN1",NA
"SMARCD2",NA
"VCPIP1",NA
"AASDH",NA
"AFAP1L1",NA
"AP4E1",NA
"ABCA3",NA
"FOXO3",NA
"ARHGAP44",NA
"ZNRF3",NA
"MSL3",NA
"VWC2",NA
"CMKLR1",NA
"C20orf194",NA
"PSD",NA
"SLC5A2",NA
"PERP",NA
"WDR27",NA
"PIK3IP1",NA
"CCNJL",NA
"NKAIN1",NA
"ADAM33",NA
"SETD1A",NA
"AUTS2",1
"ZNF608",NA
"CTNNA3",NA
"ATP23",NA
"POLR3F",NA
"IMPACT",NA
"RFX7",NA
"TTK",NA
"PAX2",NA
"INSIG2",NA
"TPD52L1",NA
"REEP5",NA
"ZMAT5",NA
"KIAA1551",NA
"ECT2",NA
"COLEC10",NA
"SCN2B",NA
"TRERF1",NA
"PSMB10",NA
"GIGYF2",NA
"BRSK1",NA
"CD74",NA
"CREBBP",NA
"RAP1A",NA
"SLC51A",NA
"TUT1",NA
"GOLGA5",NA
"PDCD6",NA
"TMEM169",NA
"BCLAF1",NA
"SSR2",NA
"STMN2",NA
"UBR1",NA
"NR2F1",NA
"PCDHGA12",NA
"SCN3B",NA
"MRPL19",NA
"LRRIQ4",NA
"COX11",NA
"PRKRA",NA
"ANKS4B",NA
"DDAH2",NA
"BHLHA9",NA
"HIST1H4L",NA
"MOB4",NA
"SLC26A7",NA
"IZUMO1",0
"KCTD2",NA
"VPS39",NA
"RNF220",NA
"DPP4",0
"FNBP4",NA
"ATP8B3",NA
"IFT172",NA
"YY1",NA
"CLEC14A",NA
"PSMA1",NA
"NR0B2",NA
"ELAVL3",NA
"SNAP29",NA
"PLPBP",NA
"ATN1",NA
"FAM81B",NA
"TOR1B",NA
"NEBL",NA
"MOGAT3",NA
"ABHD17C",NA
"LZTS1",NA
"DLGAP4",NA
"LMO3",NA
"C2",NA
"PSMA8",NA
"MAN1B1",NA
"CDC73",NA
"KIF5C",NA
"RBM38",NA
"TRIM23",NA
"ARL5B",NA
"MARCH8",NA
"CRLS1",NA
"NRROS",0
"C1QTNF8",NA
"C1R",NA
"WWC2",NA
"KIAA0232",NA
"ZNHIT6",NA
"CLRN1",NA
"NUDCD3",NA
"FGFR1",NA
"OSBPL8",NA
"RNF152",NA
"CCDC40",NA
"AP1G2",NA
"ADIPOQ",NA
"SGPP2",NA
"KIAA0825",NA
"TNKS1BP1",NA
"LMNB1",NA
"JADE2",NA
"FOXO1",NA
"ASCL2",NA
"ACER2",NA
"TMEM33",NA
"SGTA",NA
"TMTC2",0
"CHRNA7",NA
"C1QL4",NA
"KLF6",NA
"STRIP1",NA
"MYRF",NA
"WDR26",NA
"FAM184A",NA
"MRE11",NA
"RNF5",NA
"CKAP4",NA
"ITSN1",NA
"ATF1",NA
"ARVCF",NA
"CHPF2",NA
"TPK1",NA
"BAAT",NA
"CTNNB1",NA
"MIEF1",NA
"SEC14L1",NA
"GPN2",NA
"KAT2B",NA
"TCF3",NA
"ANKRD1",NA
"CHD5",NA
"MADD",NA
"DNMT3L",NA
"ZC2HC1C",NA
"MOGS",NA
"RALA",NA
"KCNC1",NA
"ZNF71",NA
"VPS52",NA
"BCAT1",NA
"KCNQ3",1
"EDC3",NA
"RAN",NA
"ASPHD2",NA
"TECR",NA
"CEP104",NA
"TRIM66",NA
"COMTD1",NA
"ACD",NA
"PCDH10",NA
"ARID5A",NA
"SH3YL1",NA
"EIF2AK4",0
"OPRD1",NA
"NDNF",NA
"GSC2",NA
"VPS26A",NA
"SCD5",NA
"CEPT1",NA
"PM20D1",NA
"BTBD9",NA
"STK16",NA
"AXL",NA
"ASZ1",NA
"CDC5L",NA
"ASPH",NA
"NOP53",NA
"BEGAIN",NA
"FGF2",NA
"RMND5A",NA
"SPON2",NA
"UGT2B15",NA
"NINL",NA
"OPRL1",NA
"PIM1",NA
"KIF11",NA
"CA5A",NA
"MRTFB",NA
"CHTF18",NA
"CD81",NA
"CA3",NA
"ZDBF2",NA
"CA12",NA
"TRIM5",NA
"RAB11FIP2",NA
"SLC7A8",NA
"SLC7A5",NA
"CTSV",NA
"KATNAL2",NA
"CILP",NA
"SNAPC4",NA
"PRKACB",NA
"ZC3H4",NA
"TET3",NA
"CFAP298",NA
"FAM117A",NA
"NAPB",NA
"HSPB6",NA
"ETS2",NA
"C2CD3",NA
"ZBTB2",NA
"RAB3GAP1",NA
"TPST1",NA
"CCDC171",NA
"TRAPPC13",NA
"VEZF1",NA
"STARD7",NA
"HNRNPK",NA
"NACC1",NA
"ASXL1",NA
"INTS4",NA
"TSSK2",NA
"OLFML2B",NA
"DCDC2B",NA
"LPAR2",NA
"RNF146",NA
"MYH14",NA
"PWWP2B",NA
"LSAMP",NA
"SPINK5",NA
"LRIT3",NA
"ZBTB7C",NA
"SCO2",NA
"DRD1",NA
"SLC45A1",NA
"PDGFD",NA
"PPCS",NA
"PLPPR1",NA
"AGRN",NA
"KIF1BP",NA
"FST",NA
"TWF1",NA
"ASIC1",NA
"IPO11",NA
"ATP6V1C1",NA
"ACTR5",NA
"MLX",NA
"SORCS3",NA
"MARK1",NA
"DOT1L",NA
"FAM57B",NA
"SEPT7",NA
"EXD1",NA
"KNDC1",NA
"BMP3",NA
"WDR33",NA
"MSH4",NA
"MSX2",NA
"RND2",NA
"SPSB1",NA
"NIPAL2",NA
"GPC5",NA
"ITPKA",NA
"PQLC1",NA
"SDR39U1",NA
"CMTR2",NA
"HEYL",NA
"AARSD1",NA
"NKIRAS2",NA
"TRIM55",NA
"SLC25A26",NA
"GIPC3",NA
"ONECUT1",NA
"EOGT",NA
"TM7SF3",NA
"B4GALNT3",NA
"ORC1",NA
"CAMK1D",NA
"ST13",NA
"WFS1",NA
"WDFY1",NA
"RHBDL3",NA
"C16orf70",NA
"ZNF879",NA
"CKM",NA
"ASB15",NA
"REEP4",NA
"CD151",NA
"TSC2",1
"RAI1",1
"PAXIP1",NA
"PCSK2",NA
"NFATC1",NA
"CARMIL1",NA
"SH3GL1",0
"PPP2R1A",NA
"LBR",NA
"MAB21L1",NA
"CORO1A",NA
"TRIB2",NA
"INTS2",NA
"STAT6",NA
"CROT",NA
"TTC34",NA
"FZD8",NA
"ISM2",NA
"ASB14",NA
"CCNT2",NA
"CLDN19",NA
"NFRKB",NA
"LRRC7",NA
"SHANK2",1
"CALU",NA
"ZNF667",NA
"PYROXD1",NA
"MINK1",NA
"RB1CC1",0
"CNOT11",NA
"RCCD1",NA
"STT3B",NA
"RPH3A",NA
"CA10",NA
"NHLRC1",0
"SERPINE2",NA
"KCTD9",NA
"GNB1",NA
"OTOP3",NA
"PHF21B",NA
"U2SURP",NA
"KLHDC3",NA
"ONECUT2",NA
"NPAS1",NA
"ATG4B",NA
"KLC1",NA
"CSNK2A2",NA
"CORO1B",NA
"HOMER2",NA
"CHST9",NA
"DNAJA2",NA
"KCNA3",NA
"POU6F1",NA
"KLB",NA
"PLEKHA8",NA
"TMEM201",NA
"NCK2",NA
"SLC25A15",NA
"PEX1",NA
"ZBTB11",NA
"PRPS1L1",NA
"POLRMT",NA
"XPO4",NA
"HADH",NA
"HNRNPR",NA
"RNASEH2A",NA
"TRIT1",NA
"ARHGAP39",NA
"NCKAP5",NA
"COL25A1",NA
"GDAP2",NA
"RPL15",NA
"PCDHB4",NA
"ADCY3",NA
"PDK2",NA
"NCAPH",NA
"PARN",NA
"HMGCL",NA
"TRAM2",NA
"ST3GAL3",NA
"OPTN",NA
"WNT16",NA
"KHK",NA
"RDH8",NA
"SLC6A9",NA
"TKFC",NA
"IRAK2",NA
"CFH",NA
"FSD2",NA
"PPP3CA",NA
"MME",NA
"IDH3G",NA
"USF3",NA
"GNB5",NA
"PODN",NA
"SLC22A8",NA
"ALOXE3",NA
"PMM2",NA
"PRCP",NA
"FAM13C",NA
"NRG3",NA
"ITCH",NA
"SRSF7",NA
"DLX3",NA
"DDX39B",NA
"USP19",NA
"PTPN4",NA
"FBXO24",NA
"MICU3",NA
"EIF2AK1",NA
"HELZ2",NA
"SMURF1",NA
"CAPN15",NA
"GNAS",NA
"CHD1L",NA
"TDO2",NA
"CDK10",NA
"PRKAR2A",NA
"ZC3H12A",NA
"PUS7",NA
"CRHR1",NA
"NAT10",NA
"NCOA6",NA
"ADCY7",NA
"CACNG3",NA
"SLC4A10",NA
"NLRP13",NA
"FADS3",NA
"KRT80",NA
"FOXD3",NA
"ANO7",NA
"ARHGAP5",NA
"ZNF131",NA
"RASGRP3",NA
"STXBP5",NA
"HOXD9",NA
"RAPGEF3",NA
"SHC2",NA
"SEPT10",NA
"MTR",NA
"DLGAP1",NA
"CYP4F12",NA
"KBTBD4",NA
"SOX5",NA
"DCLK1",NA
"EPHB6",NA
"HOGA1",NA
"MNT",NA
"SCYL3",NA
"SPATA13",NA
"CHN2",NA
"SRRM1",NA
"COL13A1",NA
"STEAP3",NA
"EEF1A1",NA
"ANKEF1",NA
"FCGBP",NA
"GATB",NA
"PYROXD2",NA
"TNFRSF21",NA
"FARSB",NA
"CORO1C",NA
"BHLHE22",NA
"JMJD6",NA
"PIK3CG",NA
"UBASH3A",NA
"TBC1D22B",NA
"ABHD5",NA
"DENND5A",NA
"FURIN",NA
"PRDM5",NA
"STK39",NA
"TRAPPC11",NA
"SLC2A10",NA
"MROH2B",NA
"AHNAK",NA
"RASA1",NA
"NALCN",NA
"MBOAT2",NA
"TUT7",NA
"COL5A3",NA
"TRPC1",NA
"DDX60",NA
"TREH",NA
"RLF",NA
"STXBP5L",NA
"NCOA5",NA
"SLC17A7",NA
"ATG7",NA
"SMPD3",NA
"ANAPC4",NA
"GNAI1",NA
"ZFP64",NA
"CYP4F3",NA
"CDKAL1",NA
"SIDT1",NA
"DNM1L",NA
"MTTP",NA
"GRIK2",NA
"GAD2",NA
"KRT2",NA
"KBTBD6",NA
"LETM1",NA
"KRT16",NA
"GNAT2",NA
